mw:PaRi,141653:in compound for PaRin
mw:PalI,142006:in compound for Pala
mw:bandi,142489:in compound for bandin
mw:bandi,142497:in compound for bandin
mw:banDU,142815:in compound for banDu
mw:barhi,142986:in compound for barhin
mw:barhi,143000:in compound for barhis
mw:barhiH,143005:in compound for barhis
mw:barhir,143023:in compound for barhis
mw:barhiz,143028:in compound for barhis
mw:bahulI,144028:in compound for bahula
mw:bahv,144042:in compound for bahu
mw:bahiH,144091:in compound for bahis
mw:bahir,144104:in compound for bahis
mw:bahiS,144179:in compound for bahis
mw:bahiz,144184:in compound for bahis
mw:bahI,144217:in compound for bahis
mw:bArhad,144449:in compound for bArhat
mw:bAhv,145013:in compound for bAhu
mw:bAhu,145018:in compound for bahu
mw:bfhac,146055:in compound for bfhat
mw:bfhaj,146078:in compound for bfhat
mw:bfhaw,146091:in compound for bfhat
mw:bfhaq,146094:in compound for brihat
mw:bfhad,146224:in compound for bfhat
mw:bfhan,146357:in compound for brihat
mw:bfhal,146392:in compound for bfhat
mw:brahma,146575:in compound for brahman
mw:brahmI,147275:in compound for brahma
mw:brAhmaRi,147429:in compound for brAhmaRI
mw:Bagavac,147804:in compound for Bagavat
mw:Bagavad,147844:in compound for Bagavat
mw:Bagavan,147872:in compound for Bagavat
mw:Bagaval,147880:in compound for Bagavat
mw:Barad,148777:in compound for Barat
mw:Bavad,149114:in compound for Bavat
mw:Bavan,149128:in compound for Bavat
mw:BavA,149156:in compound for Bavat
mw:Bavizyad,149234:in compound for Bavizyat
mw:Basma,149316:in compound for Basman
mw:BasmI,149405:in compound for Basman
mw:BAvi,150397:in compound for BAvin
mw:Bizak,150929:in compound for Bizaj
mw:Bizag,150937:in compound for Bizaj
mw:BizaN,150944:in compound for Bizaj
mw:Buvad,151469:in compound for Buvat
mw:BUmI,152267:in compound for BUmi
mw:BUmy,152277:in compound for BUmi
mw:BUyaH,152291:in compound for BUyas
mw:BUyaS,152295:in compound for BUyas
mw:BUyo,152325:in compound for BUyas
mw:BUry,152437:in compound for BUri
mw:Bfgv,152624:in compound for Bfgu
mw:Bogi,153096:in compound for Bogin
mw:Bo,153354:in compound for Bos
mw:BoH,153358:in compound for Bos
mw:Bf,153803:in compound for BrU
mw:Bra,153817:in compound for BrU
mw:Bru,153823:in compound for BrU
mw:majja,154358:in compound for majjan
mw:maRqalI,154995:in compound for maRqala
mw:mac,155258:in compound for mad
mw:mat,155261:in compound for mad
mw:man,155285:in compound for mad
mw:maDv,156319:in compound for maDu
mw:mana,156714:in compound for manas
mw:manaH,156722:in compound for manas
mw:manaS,156773:in compound for manas
mw:manasvi,156797:in compound for vin
mw:mano,156992:in compound for manas
mw:mantri,157453:in compound for mantrin
mw:manma,157481:in compound for manman
mw:manv,157510:in compound for manu
mw:manTi,157594:in compound for manTin
mw:mandI,157885:in compound for manda
mw:mayo,158011:in compound for mayas
mw:marud,158346:in compound for marut
mw:marun,158374:in compound for marut
mw:marul,158381:in compound for marut
mw:markawI,158447:in compound for markawa
mw:marma,158524:in compound for marman
mw:malinI,158751:in compound for malina
mw:mazy,159055:in compound for mazI
mw:maha,159174:in compound for mahA
mw:mahac,159191:in compound for mahat
mw:mahad,159245:in compound for mahat
mw:mahA,159292:in compound for mahat
mw:mahi,161416:in compound for mahI
mw:mahima,161436:in compound for mahiman
mw:mahI,161611:in compound for maha
mw:mAtuH,162375:in compound for mAtur
mw:mAdri,162519:in compound for mAdrI
mw:mAni,162804:in compound for mAnin
mw:mAyi,163163:in compound for mAyin
mw:mitrI,164302:in compound for mitra
mw:miTa,164312:in compound for miTaH
mw:miTaH,164314:in compound for miTas
mw:miTunI,164338:in compound for miTuna
mw:miTo,164350:in compound for miTas
mw:miSrI,164540:in compound for miSra
mw:mIQuz,164589:in compound for mIQvas
mw:mI|uz,164590:in compound for mIQvas
mw:mukulI,164826:in compound for mukula
mw:muny,165681:in compound for muni
mw:muzwI,165956:in compound for muzwi
mw:muzwy,165959:in compound for muzwi
mw:muhuS,166062:in compound for muhur
mw:muhus,166064:in compound for muhur
mw:mUrDa,166278:in compound for mUrDan
mw:mUlI,166525:in compound for mUla
mw:mfc,167220:in compound for mfd
mw:mft,167224:in compound for mfd
mw:mfdU,167382:in compound for mfdu
mw:mfdv,167387:in compound for mfdu
mw:mfn,167393:in compound for mfd
mw:mfl,167399:in compound for mfd
mw:meda,167806:in compound for medas
mw:medaH,167808:in compound for medas
mw:medaS,167815:in compound for medas
mw:medo,167852:in compound for medas
mw:moGI,168418:in compound for moGa
mw:yakfd,169001:in compound for yakft
mw:yakfn,169009:in compound for yakft
mw:yakfl,169011:in compound for yakft
mw:yakzma,169100:in compound for yakzman
mw:yajuH,169170:in compound for yajus
mw:yajur,169175:in compound for yajus
mw:yajuz,169195:in compound for yajus
mw:yato,169631:in compound for yatas
mw:yac,170186:in compound for yad
mw:yat,170190:in compound for yad
mw:yan,170208:in compound for yad
mw:yaSaH,170871:in compound for yaSas
mw:yaSaS,170883:in compound for yaSas
mw:yaSo,170892:in compound for yaSas
mw:yazwy,170995:in compound for yazwi
mw:yAda,171384:in compound for yAdas
mw:yAdaH,171386:in compound for yAdas
mw:yAdo,171397:in compound for yAdas
mw:yAdfg,171433:in compound for yAdfS
mw:yAvac,171579:in compound for yAvat
mw:yAvaj,171590:in compound for yAvat
mw:yAvad,171598:in compound for yAvat
mw:yAvan,171642:in compound for yAvat
mw:yud,172015:in compound for yuD
mw:yuva,172165:in compound for yuvan
mw:yuzmat,172212:in compound for yuzmad
mw:yuzmA,172222:in compound for yuzmad
mw:yogi,172658:in compound for yogin
mw:yoginy,172711:in compound for yoginI
mw:yozid,172900:in compound for yozit
